Incumbent Presidents Contesting Re-election (1979–2023),,,,,,,,,,,,,,,,,,,,
Country,Region,President,Election Year,Incumbent Contesting?,Outcome (Won/Lost),Term # if Won,Margin / Vote Share,Notes,Source,,COUNTA of ,,,,,,,,,
Nigeria,West Africa,Shehu Shagari,1979,"No (first election, Second Republic)",Won (first term),1,33.8%,First president of the Second Republic: contested threshold dispute over 25%-in-13-states rule.,Wikipedia: CSMonitor,,,Did not contest general election,Lost,N/A  did not contest,Outcome (Won/Lost),Won,Won (after annulment/rerun),Won (disputed),Won (first term),Grand Total
Nigeria,West Africa,Shehu Shagari,1983,Yes,Won,2,47.5%,Re-elected amid FEDECO tally disputes and later-annulled by military coup (Dec 1983) before completing term.,Wikipedia: African Elections DB: CSMonitor,,Central Africa,,,,,2,,,,2
Nigeria,West Africa,Olusegun Obasanjo,1999,"No (first election, Fourth Republic)",Won (first term),1,62.8%,First president after return to civilian rule.,IFES ElectionGuide,,East Africa,,,,,12,1,1,3,17
Nigeria,West Africa,Olusegun Obasanjo,2003,Yes,Won,2,61.9%,"Defeated Muhammadu Buhari by ~11.7M votes: opposition alleged rigging, courts upheld result.",Wikipedia: VOA: CNN: IFES,,Europe/Asia,,,,,5,,,,5
Nigeria,West Africa,Umaru Yar'Adua,2007,No (first election),Won (first term),1,69.6%,Died in office (May 2010): succeeded by VP Goodluck Jonathan: never contested re-election.,Wikipedia,,North Africa,,,,,2,,,,2
Nigeria,West Africa,Goodluck Jonathan,2011,Yes (as sitting president since 2010 succession),Won,2 (1 elected term),58.9%,First elected term after completing Yar'Adua's term: defeated Buhari.,Wikipedia: IFES,,North America,1,11,,,3,,,,15
Nigeria,West Africa,Goodluck Jonathan,2015,Yes,Lost,n/a,44.96% vs Buhari 53.95%,"First incumbent Nigerian president defeated at the ballot box: conceded gracefully, praised for peaceful transition.",France24: Britannica: CNN: Al Jazeera: BBC,,Region,,,,1,,,,,1
Nigeria,West Africa,Muhammadu Buhari,2015,"No (challenger, previously lost 2003/2007/2011)",Won (first term),1,53.95%,First opposition candidate to defeat a sitting president in Nigeria.,BBC: CNN,,South America,,,,,2,,1,,3
Nigeria,West Africa,Muhammadu Buhari,2019,Yes,Won,2,56% vs Atiku 41%,Result challenged in court by Atiku Abubakar: upheld.,CFR: Brookings: CBC: BBC,,Southern Africa,,,,,2,,,1,3
Nigeria,West Africa,Bola Tinubu,2023,No (first election),Won (first term),1,36.6%,"Lowest winning vote share in Fourth Republic history: result challenged in court, upheld.",INEC: Reuters,,West Africa,,2,1,,8,,,5,16
Côte d'Ivoire,West Africa,Alassane Ouattara,2015,Yes,Won,2,83.7% (n/a  %not fully verified),Re-elected in landslide.,China.org.cn: AllAfrica,,Grand Total,1,13,1,1,36,1,2,9,64
